"행정구역(서울)(1)",행정구역(서울)(2),행정구역(서울)(3),2023,2023,2023,2023,2023,2023,2023,2023,2023,2023,2023,2023
"행정구역(서울)(1)",행정구역(서울)(2),행정구역(서울)(3),합계,합계,합계,합계,합계,합계,합계,합계,합계,합계,합계,합계
"행정구역(서울)(1)",행정구역(서울)(2),행정구역(서울)(3),소계,소계,소계,등록시장,등록시장,등록시장,인정시장,인정시장,인정시장,상점가,상점가,상점가
"행정구역(서울)(1)",행정구역(서울)(2),행정구역(서울)(3),개소,점포수 (개소),판매면적 (㎡),개소,점포수 (개소),판매면적 (㎡),개소,점포수 (개소),판매면적 (㎡),개소,점포수 (개소),판매면적 (㎡)
"서울특별시",소계,소계,354,56243,2272148,122,25639,617296,120,15461,813780,112,15143,841072
"서울특별시",종로구,소계,23,8338,140389,8,5821,47194,6,367,8942,9,2150,84253
"서울특별시",종로구,사직동,1,104,5280,-,-,-,-,-,-,1,104,5280
"서울특별시",종로구,삼청동,1,82,2869,-,-,-,-,-,-,1,82,2869
"서울특별시",종로구,부암동,-,-,-,-,-,-,-,-,-,-,-,-
"서울특별시",종로구,평창동,-,-,-,-,-,-,-,-,-,-,-,-
"서울특별시",종로구,무악동,-,-,-,-,-,-,-,-,-,-,-,-
"서울특별시",종로구,교남동,-,-,-,-,-,-,-,-,-,-,-,-
"서울특별시",종로구,가회동,-,-,-,-,-,-,-,-,-,-,-,-
"서울특별시",종로구,종로1.2.3.4가동,5,2282,72532,2,875,17683,1,102,1056,2,1305,53793
"서울특별시",종로구,종로5.6가동,10,5138,39120,4,4669,24972,4,193,5686,2,276,8462
"서울특별시",종로구,이화동,-,-,-,-,-,-,-,-,-,-,-,-
"서울특별시",종로구,창신1동,3,384,11595,1,136,3226,-,-,-,2,248,8369
"서울특별시",종로구,창신2동,-,-,-,-,-,-,-,-,-,-,-,-
"서울특별시",종로구,창신3동,-,-,-,-,-,-,-,-,-,-,-,-
"서울특별시",종로구,숭인1동,-,-,-,-,-,-,-,-,-,-,-,-
"서울특별시",종로구,숭인2동,2,276,6793,1,141,1313,-,-,-,1,135,5480
"서울특별시",종로구,청운효자동,1,72,2200,-,-,-,1,72,2200,-,-,-
"서울특별시",종로구,혜화동,-,-,-,-,-,-,-,-,-,-,-,-
"서울특별시",중구,소계,40,19514,399216,15,13341,214859,18,4310,72300,7,1863,112057
"서울특별시",중구,소공동,2,203,3985,-,-,-,2,203,3985,-,-,-
"서울특별시",중구,회현동,6,5528,84223,3,5051,71661,3,477,12562,-,-,-
"서울특별시",중구,명동,3,197,4717,-,-,-,2,131,3769,1,66,948
"서울특별시",중구,필동,-,-,-,-,-,-,-,-,-,-,-,-
"서울특별시",중구,장충동,-,-,-,-,-,-,-,-,-,-,-,-
"서울특별시",중구,광희동,7,3344,72343,4,2923,61645,2,326,7827,1,95,2871
"서울특별시",중구,을지로동,7,2602,120288,2,901,34713,2,219,4756,3,1482,80819
"서울특별시",중구,신당5동,1,80,3740,-,-,-,-,-,-,1,80,3740
"서울특별시",중구,황학동,4,557,43523,1,209,14330,2,208,5514,1,140,23679
"서울특별시",중구,중림동,-,-,-,-,-,-,-,-,-,-,-,-
"서울특별시",중구,신당동,9,6967,62725,5,4257,32510,4,2710,30215,-,-,-
"서울특별시",중구,다산동,-,-,-,-,-,-,-,-,-,-,-,-
"서울특별시",중구,약수동,1,36,3672,-,-,-,1,36,3672,-,-,-
"서울특별시",중구,청구동,-,-,-,-,-,-,-,-,-,-,-,-
"서울특별시",중구,동화동,-,-,-,-,-,-,-,-,-,-,-,-
"서울특별시",용산구,소계,8,577,37835,3,112,15518,4,366,17031,1,99,5286
"서울특별시",용산구,후암동,1,42,1141,-,-,-,1,42,1141,-,-,-
"서울특별시",용산구,용산2가동,1,64,1521,-,-,-,1,64,1521,-,-,-
"서울특별시",용산구,남영동,-,-,-,-,-,-,-,-,-,-,-,-
"서울특별시",용산구,원효로2동,-,-,-,-,-,-,-,-,-,-,-,-
"서울특별시",용산구,효창동,-,-,-,-,-,-,-,-,-,-,-,-
"서울특별시",용산구,용문동,1,153,9247,-,-,-,1,153,9247,-,-,-
"서울특별시",용산구,이촌1동,2,206,10408,-,-,-,1,107,5122,1,99,5286
"서울특별시",용산구,이촌2동,-,-,-,-,-,-,-,-,-,-,-,-
"서울특별시",용산구,이태원1동,1,69,4484,1,69,4484,-,-,-,-,-,-
"서울특별시",용산구,이태원2동,-,-,-,-,-,-,-,-,-,-,-,-
"서울특별시",용산구,서빙고동,-,-,-,-,-,-,-,-,-,-,-,-
"서울특별시",용산구,보광동,1,10,3352,1,10,3352,-,-,-,-,-,-
"서울특별시",용산구,청파동,1,33,7682,1,33,7682,-,-,-,-,-,-
"서울특별시",용산구,원효로1동,-,-,-,-,-,-,-,-,-,-,-,-
"서울특별시",용산구,한강로동,-,-,-,-,-,-,-,-,-,-,-,-
"서울특별시",용산구,한남동,-,-,-,-,-,-,-,-,-,-,-,-
"서울특별시",성동구,소계,13,2128,74627,2,157,4017,2,1013,25837,9,958,44773
"서울특별시",성동구,왕십리2동,1,129,4241,-,-,-,-,-,-,1,129,4241
"서울특별시",성동구,마장동,1,841,16401,-,-,-,1,841,16401,-,-,-
"서울특별시",성동구,사근동,2,122,9398,-,-,-,-,-,-,2,122,9398
"서울특별시",성동구,행당1동,1,93,4180,-,-,-,-,-,-,1,93,4180
"서울특별시",성동구,행당2동,-,-,-,-,-,-,-,-,-,-,-,-
"서울특별시",성동구,응봉동,-,-,-,-,-,-,-,-,-,-,-,-
"서울특별시",성동구,금호1가동,-,-,-,-,-,-,-,-,-,-,-,-
"서울특별시",성동구,금호4가동,-,-,-,-,-,-,-,-,-,-,-,-
